NaN,-2.5401,-2.2606,-2.0076,-1.7787,-1.5716,-1.3842,-1.2147,-1.0612,-0.92242,-0.79681,-0.68315,-0.5803,-0.48725,-0.40305,-0.32686,-0.25792,-0.19554,-0.1391,-0.088028,-0.041817,-3.9757e-06,0.038898,0.084801,0.13553,0.1916,0.25356,0.32204,0.39773,0.48137,0.57381,0.67597,0.78887,0.91365,1.0516,1.204,1.3724,1.5585,1.7643,1.9916,2.2429,2.5206
0,1.0478e+14,1.0791e+14,1.1453e+14,1.2691e+14,1.4929e+14,1.8796e+14,2.5056e+14,3.4357e+14,4.678e+14,6.1432e+14,7.6457e+14,8.9654e+14,9.9322e+14,1.0477e+15,1.0629e+15,1.0473e+15,1.0111e+15,9.633e+14,9.1061e+14,8.5756e+14,8.0686e+14,7.5861e+14,7.0165e+14,6.4016e+14,5.7551e+14,5.0955e+14,4.4436e+14,3.8214e+14,3.2491e+14,2.7423e+14,2.311e+14,1.958e+14,1.6804e+14,1.4702e+14,1.3167e+14,1.2085e+14,1.1345e+14,1.0853e+14,1.0534e+14,1.0332e+14,1.0206e+14
0.1002,1.046e+14,1.0746e+14,1.1313e+14,1.2332e+14,1.4079e+14,1.6909e+14,2.1167e+14,2.7019e+14,3.4249e+14,4.2182e+14,4.9848e+14,5.6307e+14,6.0949e+14,6.3605e+14,6.4464e+14,6.391e+14,6.2375e+14,6.0243e+14,5.7813e+14,5.5298e+14,5.2833e+14,5.0433e+14,4.7532e+14,4.4312e+14,4.0825e+14,3.715e+14,3.3391e+14,2.9669e+14,2.6111e+14,2.2836e+14,1.9937e+14,1.747e+14,1.5454e+14,1.387e+14,1.2673e+14,1.1801e+14,1.1187e+14,1.0768e+14,1.0489e+14,1.0309e+14,1.0194e+14
0.2004,1.0408e+14,1.0663e+14,1.1092e+14,1.1804e+14,1.2907e+14,1.4486e+14,1.6546e+14,1.8962e+14,2.1491e+14,2.386e+14,2.5856e+14,2.7382e+14,2.8434e+14,2.9063e+14,2.9339e+14,2.9335e+14,2.9119e+14,2.8752e+14,2.8285e+14,2.776e+14,2.7209e+14,2.6639e+14,2.5906e+14,2.5036e+14,2.4025e+14,2.2874e+14,2.1601e+14,2.0233e+14,1.8814e+14,1.7394e+14,1.6029e+14,1.4773e+14,1.3664e+14,1.2728e+14,1.1972e+14,1.1386e+14,1.095e+14,1.0636e+14,1.0418e+14,1.0272e+14,1.0175e+14
0.3006,1.0336e+14,1.0545e+14,1.083e+14,1.1244e+14,1.1788e+14,1.2421e+14,1.3059e+14,1.36e+14,1.3975e+14,1.4183e+14,1.4269e+14,1.4295e+14,1.4307e+14,1.433e+14,1.4368e+14,1.4417e+14,1.4469e+14,1.4517e+14,1.4556e+14,1.4582e+14,1.4596e+14,1.4599e+14,1.4586e+14,1.455e+14,1.4482e+14,1.437e+14,1.4205e+14,1.3978e+14,1.3688e+14,1.3336e+14,1.2936e+14,1.2506e+14,1.207e+14,1.1653e+14,1.1276e+14,1.0953e+14,1.0691e+14,1.0487e+14,1.0335e+14,1.0226e+14,1.0151e+14
0.4008,1.0257e+14,1.0399e+14,1.0569e+14,1.0761e+14,1.0952e+14,1.11e+14,1.1167e+14,1.1148e+14,1.1066e+14,1.0963e+14,1.0869e+14,1.0798e+14,1.0755e+14,1.0734e+14,1.0733e+14,1.0746e+14,1.0768e+14,1.0797e+14,1.083e+14,1.0863e+14,1.0897e+14,1.093e+14,1.0971e+14,1.1016e+14,1.1065e+14,1.1114e+14,1.1159e+14,1.1194e+14,1.1212e+14,1.1205e+14,1.1168e+14,1.1098e+14,1.0996e+14,1.087e+14,1.0731e+14,1.0591e+14,1.046e+14,1.0346e+14,1.0252e+14,1.0179e+14,1.0125e+14
0.501,1.0185e+14,1.026e+14,1.0346e+14,1.0412e+14,1.0445e+14,1.0435e+14,1.0391e+14,1.0331e+14,1.0276e+14,1.0235e+14,1.0208e+14,1.0191e+14,1.0182e+14,1.0178e+14,1.0177e+14,1.0179e+14,1.0182e+14,1.0187e+14,1.0192e+14,1.0199e+14,1.0206e+14,1.0214e+14,1.0224e+14,1.0237e+14,1.0254e+14,1.0274e+14,1.0298e+14,1.0325e+14,1.0355e+14,1.0383e+14,1.0408e+14,1.0423e+14,1.0425e+14,1.041e+14,1.0379e+14,1.0336e+14,1.0284e+14,1.0231e+14,1.018e+14,1.0136e+14,1.01e+14
0.6012,1.0126e+14,1.0159e+14,1.0189e+14,1.0202e+14,1.0192e+14,1.0168e+14,1.0142e+14,1.0122e+14,1.011e+14,1.0104e+14,1.01e+14,1.0098e+14,1.0097e+14,1.0096e+14,1.0095e+14,1.0095e+14,1.0096e+14,1.0096e+14,1.0097e+14,1.0098e+14,1.01e+14,1.0101e+14,1.0102e+14,1.0105e+14,1.0107e+14,1.0111e+14,1.0115e+14,1.0122e+14,1.013e+14,1.0141e+14,1.0153e+14,1.0166e+14,1.0178e+14,1.0186e+14,1.0188e+14,1.0182e+14,1.0167e+14,1.0147e+14,1.0124e+14,1.01e+14,1.0078e+14
0.7014,1.0084e+14,1.0096e+14,1.01e+14,1.0098e+14,1.0089e+14,1.008e+14,1.0075e+14,1.0073e+14,1.0072e+14,1.0072e+14,1.007e+14,1.0068e+14,1.0067e+14,1.0065e+14,1.0064e+14,1.0064e+14,1.0064e+14,1.0064e+14,1.0065e+14,1.0066e+14,1.0067e+14,1.0067e+14,1.0068e+14,1.007e+14,1.0071e+14,1.0072e+14,1.0074e+14,1.0075e+14,1.0076e+14,1.0078e+14,1.0081e+14,1.0084e+14,1.0089e+14,1.0094e+14,1.0098e+14,1.01e+14,1.0099e+14,1.0093e+14,1.0084e+14,1.0072e+14,1.006e+14
0.8016,1.0057e+14,1.006e+14,1.0059e+14,1.0056e+14,1.0054e+14,1.0054e+14,1.0055e+14,1.0056e+14,1.0055e+14,1.0054e+14,1.0051e+14,1.0048e+14,1.0046e+14,1.0044e+14,1.0042e+14,1.0042e+14,1.0042e+14,1.0042e+14,1.0043e+14,1.0044e+14,1.0045e+14,1.0046e+14,1.0047e+14,1.0049e+14,1.005e+14,1.0052e+14,1.0054e+14,1.0055e+14,1.0056e+14,1.0057e+14,1.0057e+14,1.0058e+14,1.0058e+14,1.0059e+14,1.006e+14,1.0062e+14,1.0062e+14,1.0061e+14,1.0058e+14,1.0053e+14,1.0046e+14
0.9018,1.004e+14,1.0041e+14,1.0041e+14,1.0041e+14,1.0042e+14,1.0044e+14,1.0045e+14,1.0044e+14,1.0043e+14,1.004e+14,1.0036e+14,1.0033e+14,1.003e+14,1.0028e+14,1.0027e+14,1.0026e+14,1.0026e+14,1.0027e+14,1.0027e+14,1.0028e+14,1.0029e+14,1.003e+14,1.0031e+14,1.0033e+14,1.0035e+14,1.0037e+14,1.0039e+14,1.0041e+14,1.0043e+14,1.0044e+14,1.0045e+14,1.0045e+14,1.0045e+14,1.0045e+14,1.0044e+14,1.0044e+14,1.0044e+14,1.0043e+14,1.0042e+14,1.0039e+14,1.0036e+14
1.002,1.0031e+14,1.0032e+14,1.0033e+14,1.0034e+14,1.0036e+14,1.0037e+14,1.0037e+14,1.0035e+14,1.0032e+14,1.0029e+14,1.0025e+14,1.0022e+14,1.0019e+14,1.0017e+14,1.0016e+14,1.0016e+14,1.0016e+14,1.0016e+14,1.0016e+14,1.0017e+14,1.0018e+14,1.0019e+14,1.002e+14,1.0021e+14,1.0023e+14,1.0025e+14,1.0027e+14,1.0029e+14,1.0032e+14,1.0034e+14,1.0035e+14,1.0037e+14,1.0037e+14,1.0037e+14,1.0036e+14,1.0035e+14,1.0034e+14,1.0033e+14,1.0032e+14,1.0031e+14,1.0029e+14
1.1022,1.0025e+14,1.0027e+14,1.0028e+14,1.003e+14,1.0031e+14,1.0031e+14,1.003e+14,1.0027e+14,1.0024e+14,1.002e+14,1.0017e+14,1.0014e+14,1.0012e+14,1.001e+14,1.0009e+14,1.0009e+14,1.0009e+14,1.0009e+14,1.0009e+14,1.001e+14,1.0011e+14,1.0011e+14,1.0012e+14,1.0013e+14,1.0015e+14,1.0016e+14,1.0018e+14,1.0021e+14,1.0023e+14,1.0025e+14,1.0028e+14,1.0029e+14,1.003e+14,1.0031e+14,1.0031e+14,1.003e+14,1.0029e+14,1.0028e+14,1.0027e+14,1.0025e+14,1.0024e+14
1.2024,1.0022e+14,1.0023e+14,1.0025e+14,1.0026e+14,1.0027e+14,1.0026e+14,1.0024e+14,1.0021e+14,1.0017e+14,1.0014e+14,1.0011e+14,1.0008e+14,1.0007e+14,1.0006e+14,1.0005e+14,1.0005e+14,1.0005e+14,1.0005e+14,1.0005e+14,1.0006e+14,1.0006e+14,1.0006e+14,1.0007e+14,1.0008e+14,1.0009e+14,1.001e+14,1.0012e+14,1.0014e+14,1.0016e+14,1.0019e+14,1.0021e+14,1.0023e+14,1.0025e+14,1.0026e+14,1.0026e+14,1.0026e+14,1.0025e+14,1.0024e+14,1.0023e+14,1.0022e+14,1.002e+14
1.3026,1.0019e+14,1.0021e+14,1.0022e+14,1.0023e+14,1.0022e+14,1.0021e+14,1.0018e+14,1.0015e+14,1.0012e+14,1.0009e+14,1.0007e+14,1.0005e+14,1.0004e+14,1.0003e+14,1.0003e+14,1.0003e+14,1.0003e+14,1.0003e+14,1.0003e+14,1.0003e+14,1.0003e+14,1.0003e+14,1.0004e+14,1.0004e+14,1.0005e+14,1.0006e+14,1.0008e+14,1.0009e+14,1.0011e+14,1.0013e+14,1.0016e+14,1.0018e+14,1.002e+14,1.0021e+14,1.0022e+14,1.0022e+14,1.0022e+14,1.0021e+14,1.002e+14,1.0019e+14,1.0018e+14
1.4028,1.0018e+14,1.0019e+14,1.002e+14,1.002e+14,1.0019e+14,1.0017e+14,1.0014e+14,1.0011e+14,1.0008e+14,1.0006e+14,1.0004e+14,1.0003e+14,1.0002e+14,1.0002e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0002e+14,1.0002e+14,1.0002e+14,1.0003e+14,1.0004e+14,1.0005e+14,1.0006e+14,1.0007e+14,1.0009e+14,1.0011e+14,1.0013e+14,1.0015e+14,1.0017e+14,1.0019e+14,1.0019e+14,1.0019e+14,1.0019e+14,1.0018e+14,1.0017e+14,1.0016e+14
1.503,1.0016e+14,1.0017e+14,1.0017e+14,1.0017e+14,1.0015e+14,1.0013e+14,1.001e+14,1.0008e+14,1.0005e+14,1.0003e+14,1.0002e+14,1.0002e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0002e+14,1.0003e+14,1.0004e+14,1.0005e+14,1.0006e+14,1.0008e+14,1.001e+14,1.0012e+14,1.0014e+14,1.0015e+14,1.0016e+14,1.0017e+14,1.0017e+14,1.0017e+14,1.0016e+14,1.0015e+14
1.6032,1.0015e+14,1.0015e+14,1.0015e+14,1.0014e+14,1.0012e+14,1.001e+14,1.0008e+14,1.0005e+14,1.0003e+14,1.0002e+14,1.0001e+14,1.0001e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0003e+14,1.0004e+14,1.0006e+14,1.0007e+14,1.0009e+14,1.0011e+14,1.0013e+14,1.0014e+14,1.0015e+14,1.0015e+14,1.0015e+14,1.0014e+14,1.0014e+14
1.7034,1.0013e+14,1.0013e+14,1.0013e+14,1.0012e+14,1.001e+14,1.0008e+14,1.0005e+14,1.0003e+14,1.0002e+14,1.0001e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0003e+14,1.0004e+14,1.0005e+14,1.0007e+14,1.0009e+14,1.001e+14,1.0012e+14,1.0013e+14,1.0013e+14,1.0013e+14,1.0013e+14,1.0012e+14
1.8036,1.0012e+14,1.0012e+14,1.0011e+14,1.001e+14,1.0008e+14,1.0006e+14,1.0004e+14,1.0002e+14,1.0001e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0002e+14,1.0004e+14,1.0005e+14,1.0007e+14,1.0008e+14,1.001e+14,1.0011e+14,1.0012e+14,1.0012e+14,1.0012e+14,1.0011e+14
1.9038,1.0011e+14,1.001e+14,1.001e+14,1.0008e+14,1.0006e+14,1.0004e+14,1.0002e+14,1.0001e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0002e+14,1.0004e+14,1.0005e+14,1.0006e+14,1.0008e+14,1.0009e+14,1.001e+14,1.0011e+14,1.0011e+14,1.0011e+14
2.004,1.001e+14,1.0009e+14,1.0008e+14,1.0006e+14,1.0005e+14,1.0003e+14,1.0002e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0003e+14,1.0004e+14,1.0005e+14,1.0006e+14,1.0008e+14,1.0009e+14,1.0009e+14,1.001e+14,1.001e+14
2.1042,1.0009e+14,1.0008e+14,1.0007e+14,1.0005e+14,1.0004e+14,1.0002e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0003e+14,1.0004e+14,1.0005e+14,1.0006e+14,1.0007e+14,1.0008e+14,1.0009e+14,1.0009e+14
2.2044,1.0008e+14,1.0007e+14,1.0006e+14,1.0004e+14,1.0003e+14,1.0001e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0003e+14,1.0004e+14,1.0005e+14,1.0006e+14,1.0007e+14,1.0008e+14,1.0008e+14
2.3046,1.0007e+14,1.0006e+14,1.0005e+14,1.0003e+14,1.0002e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0003e+14,1.0004e+14,1.0005e+14,1.0006e+14,1.0007e+14,1.0007e+14
2.4048,1.0006e+14,1.0005e+14,1.0004e+14,1.0003e+14,1.0001e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0003e+14,1.0004e+14,1.0005e+14,1.0005e+14,1.0006e+14,1.0007e+14
2.505,1.0005e+14,1.0004e+14,1.0003e+14,1.0002e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0003e+14,1.0004e+14,1.0005e+14,1.0005e+14,1.0006e+14
2.6052,1.0005e+14,1.0004e+14,1.0002e+14,1.0001e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0003e+14,1.0004e+14,1.0005e+14,1.0005e+14
2.7054,1.0004e+14,1.0003e+14,1.0002e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0003e+14,1.0003e+14,1.0004e+14,1.0005e+14
2.8056,1.0003e+14,1.0002e+14,1.0002e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0003e+14,1.0004e+14,1.0004e+14
2.9058,1.0003e+14,1.0002e+14,1.0001e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0002e+14,1.0003e+14,1.0004e+14
3.006,1.0003e+14,1.0002e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0003e+14,1.0003e+14
3.1062,1.0002e+14,1.0001e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0002e+14,1.0003e+14
3.2064,1.0002e+14,1.0001e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0003e+14
3.3066,1.0002e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14,1.0002e+14
3.4068,1.0001e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0001e+14,1.0002e+14
3.507,1.0001e+14,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14
3.6072,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0002e+14
3.7074,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14,1.0001e+14
3.8076,1.0001e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14
3.9078,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1e+14,1.0001e+14,1.0001e+14
